"Board","mean_Failure_x_coord","Peak_load","Area","UTS_psi","UTS_ksi","MC","VibeE"
115,91.3,-20058,8.25,2431.272727,2.431272727,11.8,1.83
116,112,-30329,8.25,3676.242424,3.676242424,13.2,1.91
117,55.2,-20723,8.25,2511.878788,2.511878788,11.6,1.34
118,62.4,-23652,8.25,2866.909091,2.866909091,11.6,1.8
119,94.7,-20609,8.25,2498.060606,2.498060606,11.3,1.63
120,92.9,-28190,8.25,3416.969697,3.416969697,11.3,1.67
121,46.2,-40717,8.25,4935.393939,4.935393939,11.5,2.2
122,75,-17742,8.25,2150.545455,2.150545455,10.6,1.39
123,48.1,-28712,8.25,3480.242424,3.480242424,13,1.94
124,48.9,-25436,8.25,3083.151515,3.083151515,12.2,1.89
125,95.4,-34090,8.25,4132.121212,4.132121212,10,2.12
126,53.4,-42946,8.25,5205.575758,5.205575758,11.1,1.74
127,74.6,-30723,8.25,3724,3.724,10.9,1.71
128,40.3,-26227,8.25,3179.030303,3.179030303,11.4,1.81
129,37.7,-23614,8.25,2862.30303,2.86230303,11.5,1.27
130,43.9,-33678,8.25,4082.181818,4.082181818,12.4,1.94
131,75.2,-24513,8.25,2971.272727,2.971272727,10.8,2.05
132,98.3,-33276,8.25,4033.454545,4.033454545,11.5,1.88
133,104.5,-29859,8.25,3619.272727,3.619272727,11.5,2.21
134,69.1,-25408,8.25,3079.757576,3.079757576,10.25,1.54
