"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
0,20.33,4.85,0.379007134,0.268115915,-0.020364987,50,1,0,0,0,0,0,0,1
1,20.74,5.5,0.534994005,0.294810853,-0.098712787,50,12,0.19,3,0,5.5,0,0.514793723,2
2,20.93,1.33,0.469580177,0.304588739,0.084940773,50,7,1.5,0,0,0,0,0,1
2,21.66,5.44,0.301025468,0.332851497,-0.010011998,50,8,1.5,0,4,5.5,1.5,0.40743286,2
0,39.24,1.98,0.554542184,0.354867678,-0.007200729,50,2,0,0,0,0,0,0,3
2,39.67,3.03,0.303498941,0.294155366,-0.022673349,50,9,1.5,0,0,0,0,0,3
1,54.61,5.5,0.3844,0.1225,0,50,13,1.5,0,1,5.5,1.5,0.603814108,4
0,55.03,0.51,0.575537966,0.585906402,0.003623348,50,3,0,1,0,0,0,0.438375115,4
3,55.82,0,0.270805251,0.47633999,-0.009481363,50,21,0.48,4,0,0,0,0.062851512,4
0,69,1.69,0.309784003,0.371587037,0.06964347,50,4,0,0,0,0,0,0,5
3,69.76,0,0.20890034,0.306418279,-0.002929054,50,22,0.61,0,0,0,0,0,5
1,81.56,5.5,0.4356,0.3025,0,50,14,0.4,3,0,5.5,0,0.128289501,6
2,81.98,4.65,0.141208629,0.40681592,-0.039801797,50,10,1.5,0,0,0,0,0,6
3,82.02,0,0.1296,0.1936,3.92e-18,50,23,0.97,0,0,0,0,0,6
0,97.39,0.94,0.337582872,0.440128044,-0.046255408,50,5,0,0,0,0,0,0,7
3,97.56,0,0.189338865,0.304560389,-0.002258652,50,24,1.11,0,2,0,1.5,0.044319322,7
1,107.65,5.5,0.2304,0.0361,0,50,15,0.08,3,0,5.5,0,0.237363021,8
3,108.64,0,0.061385319,0.107414263,-0.006122345,50,26,1.36,0,2,0,1.5,0.037152617,8
2,136.13,4.65,0.229102807,0.296103509,0.025151387,50,11,1.5,0,0,0,0,0,9
1,136.36,5.5,0.322755346,0.306545254,0.000796847,50,18,0.83,0,0,0,0,0,9
