"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,24.54,5.5,0.935271385,0.584470202,0.308047838,50,7,1.33,0,1,5.5,1.5,0.917921907,1
0,25.61,0.27,1.039897724,0.578829509,-0.032487303,50,1,0,1,0,0,0,1.0254311,1
0,60.01,5.13,1.426682381,0.9734132,-0.098073626,50,2,0,0,2,5.5,0,1.239050383,2
2,60.39,0.16,1.01912666,0.549878582,-0.008258727,50,4,1.5,3,0,0,1.5,1.249616501,2
3,60.41,0,1.156191958,2.263367094,-0.268501522,50,9,0.6,4,2,0,1.5,0.31756099,2
1,80.74,5.5,1.210380795,5.888828756,0.56850003,50,8,0.77,3,1,5.5,1.5,0.875785718,3
2,81.34,5.31,1.09246387,0.36919248,0.012300354,50,5,1.5,0,4,5.5,1.5,1.227018356,3
0,81.43,0.58,1.460422749,0.906225546,-0.141868835,50,3,0,1,0,0,0,0.808231079,3
