"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,1.34,2.86,1.352685269,1.14959143,-8.27e-05,50,10,1.5,0,0,0,0,0,1
0,1.62,2.26,1.92811973,1.383399621,0.110425055,50,3,0,0,0,0,0,0,1
2,26.67,0.07,2.104818563,2.097864554,-0.065291045,50,11,1.5,3,0,0,1.5,3.100111441,2
3,27.16,0,1.948763822,2.516694246,-0.961388204,50,8,0.61,4,2,0,1.5,0.385254509,2
0,27.79,5,2.1609,1.1025,0,50,4,0,0,2,5.5,0,1.661987904,2
1,86.15,5.5,0.077486999,0.077944347,3.53e-05,50,1,1.47,0,1,5.5,1.5,0.116881307,3
2,86.69,3.77,0.99140681,0.994260003,-0.000153498,50,12,1.5,0,0,0,0,0,3
0,86.82,1.14,1.2321,1.4884,1.57e-17,50,6,0,1,0,0,0,0.035305363,3
2,106,3.25,2.825740948,0.908634672,-0.036442562,50,13,1.5,0,0,0,0,0,4
0,107.39,2.05,2.009680922,0.761734407,-0.032475886,50,7,0,0,0,0,0,0,4
1,113.68,5.5,1.269500888,1.482745292,-0.003199626,50,2,0.25,3,0,5.5,0,1.447032636,5
2,113.78,5.43,1.154161562,0.999711311,0.010503766,50,14,1.5,0,4,5.5,1.5,1.661580312,5
