"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,27.83,2.22,0.294706221,0.277633481,0.183885179,50,20,1.5,0,0,0,0,0,1
0,27.98,1.21,0.550783478,0.945834335,-0.370669267,50,8,0,0,0,0,0,0,1
2,54.31,0.67,0.162444041,0.44410104,-0.235580067,50,21,1.5,0,0,0,0,0,2
3,55.89,0,0.25,0.1681,0,50,16,0.01,4,0,0,0,0.382619521,2
1,75.76,5.5,0.027506866,0.023403528,-0.001233139,50,2,0.89,0,0,0,0,0,3
3,78.23,0,0.0441,0.0441,0,50,9,1.07,0,0,0,0,0,3
1,82.12,5.5,0.454154551,0.341438058,-0.028428789,50,3,0.71,0,0,0,0,0,4
3,82.65,0,0.226454415,0.284742392,-0.056978745,50,10,0.21,4,0,0,0,0.148128019,4
1,109.08,5.5,0.336872205,0.330493347,0.001371084,50,4,0.04,3,0,5.5,0,0.482683779,5
2,109.38,5.28,0.359215009,2.859791016,0.509827974,50,23,1.5,0,4,5.5,1.5,0.340807085,5
3,129.44,0,0.05505543,0.061839606,-0.003557428,50,18,1.24,0,0,0,0,0,6
1,130.1,5.5,0.0372311,0.022298993,-0.005605362,50,7,0.83,0,0,0,0,0,6
1,136.03,5.5,0.081836206,0.050468812,-0.012713576,50,5,1.1,0,0,0,0,0,7
3,137.19,0,0.08661363,0.124215442,0.011923471,50,12,0.28,4,0,0,0,0.025991057,7
