"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
0,23.08,4.48,0.364728917,0.503872709,0.308780782,50,8,0,0,0,0,0,0,1
3,23.3,0,0.182157631,0.138788825,0.02895503,50,13,0.47,0,0,0,0,0,1
1,50.95,5.5,0.031772176,0.02090908,0.002106697,50,6,0.06,3,0,5.5,0,0.025370544,2
3,53.47,0,0.088043437,0.084087553,0.001409639,50,14,1.07,0,0,0,0,0,2
0,55.3,3.11,0.422562482,0.665562331,0.367116104,50,9,0,0,0,0,0,0,3
3,56.15,0,0.443488272,0.488865418,0.094508219,50,15,1.36,0,2,0,1.5,1.010978626,3
2,56.71,0.04,0.373920933,0.556837581,-0.122123651,50,21,1.5,3,0,0,1.5,0.498126332,3
1,63.47,5.5,0.303039382,0.213018495,-0.10089628,50,3,0,3,0,5.5,0,0.40094481,4
2,64.56,5.37,0.3937136,0.482398632,0.248192637,50,22,1.5,0,4,5.5,1.5,0.611140384,4
3,90.2,0,0.2116,0.1156,0,50,16,1.48,0,2,0,1.5,0.313457153,5
2,90.47,0.23,0.248615568,0.352580877,-0.077169888,50,23,1.5,3,0,0,1.5,0.15057312,5
2,107.5,5.13,0.318176358,0.33241782,0.037349804,50,24,1.5,0,4,5.5,1.5,0.454900508,6
1,108.28,5.5,0.124545166,0.118916706,0.012084772,50,5,0,3,0,5.5,0,0.193696092,6
0,111.73,4.1,0.335848969,0.513522965,0.171639783,50,10,0,0,0,0,0,0,7
3,112.24,0,0.309797777,0.293869616,0.032432203,50,17,0.77,0,0,0,0,0,7
0,126.19,5.19,0.039606823,0.484584302,-0.020078227,50,11,0,0,2,5.5,0,0.01067901,8
3,126.19,0,0.035596404,0.01125791,0.006059581,50,20,0.06,4,0,0,0,0.015949436,8
0,138.39,5.33,0.219098374,3.899948783,0.491929334,50,12,0,0,2,5.5,0,0.182934487,9
3,138.45,0,0.297106266,0.161743638,0.004473464,50,18,0.03,4,0,0,0,0.432576305,9
2,139.75,4.86,0.326203102,0.229592913,0.050255583,50,27,1.5,0,0,0,0,0,10
1,140.5,5.5,0.190598748,0.237920114,-0.083286185,50,4,0.09,3,0,5.5,0,0.180835419,10
