"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,34.42,0,0.206959465,0.222521923,0.014096044,50,10,0.06,4,0,0,0,0.48255234,1
0,35.1,5.19,0.312071177,0.68394848,-0.099177473,50,1,0,0,2,5.5,0,0.176269294,1
3,64.79,0,0.2601,0.2916,1.93e-18,50,11,0.38,4,0,0,0,0.072286149,2
1,65.95,5.5,0.2704,0.1369,0,50,8,1.13,0,0,0,0,0,2
0,85.19,0.44,7.735785866,0.852648474,2.110043709,50,2,0,1,0,0,0,0.188930596,3
3,88.15,0,0.0625,0.0484,0,50,12,1.06,0,0,0,0,0,3
3,90.98,0,0.03648482,0.019030203,0,50,13,0.61,0,0,0,0,0,4
2,93.51,4.99,0.255999089,0.410405253,-0.152131301,50,3,1.5,0,4,5.5,1.5,0.02928742,4
1,138.28,5.5,0.323101296,0.179826884,0,50,9,0.07,3,0,5.5,0,0.422499035,5
2,138.48,4.82,0.513024082,1.823558896,-0.505607372,50,6,1.5,0,4,5.5,1.5,0.083298851,5
