"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,4.42,0,0.079892851,0.113412892,0.018325958,50,7,0.37,0,0,0,0,0,1
2,4.69,0.95,0.439681629,0.426553567,-0.002530854,50,9,1.5,0,0,0,0,0,1
0,4.76,4.84,0.874300878,0.879938662,0.080978504,50,6,0,0,2,5.5,0,1.249486795,1
2,25.1,4.93,1.253824634,0.898932599,-0.062606594,50,12,1.5,0,4,5.5,1.5,0.573885682,2
1,25.72,5.5,0.658191577,0.085232879,-0.13416961,50,1,0.18,3,0,5.5,0,0.289179653,2
3,39.64,0,1.713194986,1.643658863,-0.047847042,50,8,1.3,0,2,0,1.5,2.160988464,3
2,39.73,0.38,1.185515001,1.036113609,-0.065517583,50,10,1.5,3,0,0,1.5,1.042381934,3
0,39.79,4.46,1.023491463,1.30563788,-0.010626664,50,4,0,0,2,5.5,0,0.045813497,3
0,95.92,1.29,0.622303035,0.152979518,0.167238697,50,5,0,0,0,0,0,0,4
2,96.34,4.89,1.144632521,0.790747729,-0.067245865,50,11,1.5,0,4,5.5,1.5,0.364401813,4
