"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,29.48,1.28,0.336972042,1.089648979,0.126387478,50,9,1.5,0,0,0,0,0,1
0,30.19,1.22,0.288609371,0.816054944,-0.188746383,50,5,0,0,0,0,0,0,1
1,108.98,5.5,0.647183607,1.015911366,0.168741885,50,4,0.74,3,1,5.5,1.5,0.248309245,2
2,109.04,4.69,0.642213328,0.907707836,0.118797844,50,10,1.5,0,4,5.5,1.5,0.184498196,2
2,119,0.19,0.169744453,0.645071458,-0.05065618,50,11,1.5,3,0,0,1.5,0.133635395,3
3,119.01,0,0.154360871,0.070624153,0.004539446,50,8,1.45,0,2,0,1.5,0.199207419,3
0,119.22,1.79,0.229168721,0.79510254,-0.150931195,50,6,0,0,0,0,0,0,3
