"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,12.88,4.93,0.3844,0.3364,0,50,16,1.5,0,4,5.5,1.5,0.001746691,1
1,13.15,5.5,0.139330119,0.601828533,-0.147306811,50,1,1.13,0,1,5.5,1.5,0.024505147,1
0,45.89,0.37,0.3844,0.3025,0,50,6,0,1,0,0,0,0.140113513,2
2,45.89,4.94,0.3025,0.2601,0,50,18,1.5,0,0,0,0,0,2
1,46.08,5.5,0.456686893,1.801990509,-0.548412086,50,2,0.84,3,1,5.5,1.5,0.065216563,2
2,47.99,1.24,0.247138783,0.340317726,-0.060179275,50,17,1.5,0,0,0,0,0,3
0,48,3.14,0.229634116,0.381761783,0.038637833,50,8,0,0,0,0,0,0,3
2,48.68,5.21,0.627616869,0.385790408,0.004256126,50,19,1.5,0,4,5.5,1.5,0.476903395,4
0,48.76,0.26,0.539976208,0.309328089,0.009383243,50,7,0,1,0,0,0,0.407347956,4
1,49,5.5,0.614002621,2.299892256,-0.368376229,50,4,0.74,3,1,5.5,1.5,0.153944424,4
0,73.93,1.28,0.661246069,0.457615813,0.013019667,50,9,0,0,0,0,0,0,5
2,74.1,4.05,0.7396,0.64,0,50,20,1.5,0,0,0,0,0,5
2,78.97,4.46,0.9801,0.8649,0,50,21,1.5,0,0,0,0,0,6
0,79.12,1.06,0.829075319,0.733726421,-0.003342673,50,10,0,0,0,0,0,0,6
0,107.55,2.61,0.49966719,0.429649991,0.005980107,50,12,0,0,0,0,0,0,7
2,107.72,2.49,0.37592027,0.324896785,-0.012550451,50,22,1.5,0,0,0,0,0,7
0,115.34,2.75,0.9216,0.7396,0,50,13,0,0,0,0,0,0,8
2,115.57,2.27,0.750224646,0.71857703,0.007823837,50,23,1.5,0,0,0,0,0,8
