"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,26.38,5.47,0.469562161,0.050951459,-0.012993585,50,15,1.5,0,4,5.5,1.5,0.679200323,1
0,26.41,0.11,0.844637506,0.510964696,0.009216276,50,2,0,1,0,0,0,1.112495975,1
1,26.5,5.5,0.951151907,1.5121467,-0.232064128,50,1,1.28,0,1,5.5,1.5,1.044155547,1
3,33.73,0,0.889245387,1.386415193,0.016726428,50,7,0.64,4,2,0,1.5,0.206122189,2
0,33.86,5.25,0.744795574,0.782142482,0.023300229,50,3,0,0,2,5.5,0,1.397000044,2
2,33.98,0,0.399699128,0.098578626,-0.025718437,50,10,1.5,3,0,0,1.5,0.617305126,2
2,62.18,4.37,1.82307954,1.359942415,0.105642174,50,11,1.5,0,4,5.5,1.5,0.023121178,3
0,62.26,1.44,0.999328229,0.651043532,-0.040624653,50,4,0,0,0,0,0,0,3
0,91.26,5.09,1.236723808,1.627744172,0.294790379,50,5,0,0,2,5.5,0,2.13692409,4
2,91.36,0.03,1.411653712,0.595313171,-0.022881459,50,12,1.5,3,0,0,1.5,2.143013205,4
3,91.43,0,1.191230019,1.869950102,0.074463443,50,8,0.74,4,2,0,1.5,0.661380836,4
0,106.09,3.04,1.463530383,0.770958734,-0.008723159,50,6,0,0,0,0,0,0,5
2,106.4,2.36,1.765314165,1.217356537,-0.026710863,50,13,1.5,0,0,0,0,0,5
