"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,62.52,4.97,1.040645832,0.840357253,-0.020006961,50,10,1.5,0,4,5.5,1.5,0.522653635,1
1,62.57,5.5,0.759020982,0.882472296,-0.007317623,50,1,0.01,3,0,5.5,0,1.174767336,1
0,62.69,1.42,1.220805217,1.144468003,0.009794251,50,2,0,0,0,0,0,0,1
2,82.76,1.36,1.1664,0.9604,0,50,11,1.5,0,0,0,0,0,2
0,83,4.44,1.289943829,0.881324063,0.055048268,50,3,0,0,0,0,0,0,2
3,92.03,0,0.382758637,0.153233944,0.02571218,50,8,0.04,4,0,0,0,0.540619529,3
3,92.1,0,0.322119029,0.373300986,-0.002701766,50,9,1.41,0,2,0,1.5,0.405973169,4
2,92.15,0.72,0.592672145,0.432203932,-0.015862471,50,12,1.5,0,0,0,0,0,4
0,92.16,4.82,0.573332092,0.486493286,0.01400424,50,4,0,0,2,5.5,0,0.004777526,3
2,118.66,4.34,0.924963424,1.296441053,-0.017136346,50,13,1.5,0,0,0,0,0,5
0,118.76,2.04,1.055859842,1.101701747,-0.000990464,50,5,0,0,0,0,0,0,5
0,123.26,4.47,0.448977843,0.391028558,-0.000961886,50,6,0,0,0,0,0,0,6
2,123.33,1.38,0.3481,0.3025,0,50,14,1.5,0,0,0,0,0,6
