"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,6.39,2.03,0.281535168,0.201440009,0.048641896,50,4,1.5,0,0,0,0,0,1
1,7.34,5.5,0.2209,0.1156,0,50,11,0.21,3,0,5.5,0,0.112890279,2
3,8.07,0,0.162683384,0.115339825,0.001232043,50,21,0.43,0,0,0,0,0,1
2,8.09,5.19,0.362197734,0.662637574,-0.160087015,50,5,1.5,0,4,5.5,1.5,0.17390455,2
3,37.81,0,0.152970942,0.120550715,0.006317025,50,22,1.48,0,2,0,1.5,0.224044065,3
2,38.01,0.64,0.233191703,0.592684879,0.110002187,50,6,1.5,3,0,0,1.5,0.024162771,3
3,41.18,0,0.079500836,0.094141593,0.002923852,50,23,0.69,0,0,0,0,0,4
1,42.21,5.5,0.054605657,0.049667699,0.00022281,50,20,0,3,0,5.5,0,0.085790125,4
0,65.54,1.1,0.189158464,0.263936446,0.078440661,50,2,0,0,0,0,0,0,5
2,70.86,3.97,0.078811491,0.312066684,-0.04151811,50,7,1.5,0,0,0,0,0,5
3,95.13,0,0.153069113,0.112118108,0.006766857,50,24,0.65,0,0,0,0,0,6
1,95.87,5.5,0.101338909,0.09482254,-0.000225779,50,14,0.46,0,0,0,0,0,6
1,105.89,5.5,0.075493753,0.070779771,-0.001432143,50,15,0.02,3,0,5.5,0,0.107549874,7
2,106.36,5.12,0.138962197,0.451012039,-0.107201123,50,9,1.5,0,4,5.5,1.5,0.024524457,7
3,106.54,0,0.1225,0.0961,0,50,25,1.11,0,0,0,0,0,7
2,118.52,4.33,0.1528942,0.360050296,-0.081251508,50,10,1.5,0,0,0,0,0,8
1,121.26,5.5,0.02916836,0.022180345,-0.000884727,50,17,0.69,0,0,0,0,0,8
0,130.54,4.74,0.078243203,0.317000915,-0.022610667,50,3,0,0,0,0,0,0,9
1,132.3,5.5,0.025335088,0.022070074,1.33e-06,50,18,1.2,0,0,0,0,0,9
