"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,5.83,0,0.298394365,0.165721094,-0.005184777,50,12,1.2,0,2,0,1.5,0.086202749,1
2,5.97,0.12,0.182936182,0.352368762,-0.18888542,50,19,1.5,3,0,0,1.5,0.058061915,1
3,14.66,0,0.0841,0.0121,0,50,13,1.41,0,2,0,1.5,0.023618103,2
2,19.92,1.25,0.139052255,0.453139151,-0.182114458,50,20,1.5,0,0,0,0,0,2
3,29.97,0,0.1444,0.0841,0,50,14,0.72,0,0,0,0,0,3
0,33.88,5,0.397997856,0.900793794,0.295093743,50,6,0,0,2,5.5,0,0.162046157,3
0,36.56,1.11,0.283854978,0.461542201,-0.198520779,50,5,0,0,0,0,0,0,4
2,37.55,2.07,0.429582062,0.460164712,-0.259773037,50,21,1.5,0,0,0,0,0,4
1,66.93,5.5,0.1024,0.0784,0,50,3,0.57,0,0,0,0,0,5
0,67.94,4.51,0.186357964,0.397883587,0.160447868,50,7,0,0,0,0,0,0,5
2,75.43,4.11,0.708302719,1.115975985,0.657094536,50,23,1.5,0,0,0,0,0,6
2,75.68,0.8,0.891480544,1.931868935,-0.92824744,50,22,1.5,3,0,0,1.5,0.011497883,7
3,76.12,0,0.2025,0.0324,0,50,16,1.49,0,2,0,1.5,0.30825503,7
0,76.51,1.31,0.358801076,0.400396755,-0.182273517,50,8,0,0,0,0,0,0,6
3,84.96,0,0.053944701,0.013486184,-1.65e-05,50,17,0.55,0,0,0,0,0,8
2,89.53,1,0.268600583,0.622985325,-0.329332129,50,24,1.5,0,0,0,0,0,8
1,99.29,5.5,0.25,0.1764,0,50,4,0.55,0,0,0,0,0,9
0,100.26,4.7,0.261486198,0.384808665,0.164417126,50,9,0,0,0,0,0,0,9
2,106.04,0.93,0.455075586,1.433271371,-0.620388904,50,25,1.5,3,0,0,1.5,-0.002927047,10
3,106.39,0,0.1156,0.0169,0,50,18,1.47,0,2,0,1.5,0.153424045,10
2,136.17,1.44,0.352765459,0.985484297,-0.446152529,50,27,1.5,0,0,0,0,0,11
0,137.07,0.68,0.141496444,0.319258624,-0.091882371,50,10,0,0,0,0,0,0,11
2,143.23,4.3,0.799482937,1.378856649,0.747741593,50,28,1.5,0,0,0,0,0,12
0,143.55,4.63,0.469353456,0.745224092,0.263410724,50,11,0,0,0,0,0,0,12
