"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,118.54,3.47,0.937558313,0.663682554,-0.02821309,50,5,1.5,0,0,0,0,0,1
0,118.65,1.85,1.062796476,0.653732547,-0.063983695,50,3,0,0,0,0,0,0,1
2,141.55,4.86,2.233948135,1.839072254,0.210406519,50,6,1.5,0,4,5.5,1.5,1.610850124,2
0,141.88,0.01,2.557063346,1.931590304,-0.272085655,50,4,0,1,0,0,0,3.924674239,2
1,141.92,5.5,1.609176212,3.144588141,-0.053827364,50,2,0.73,3,1,5.5,1.5,0.961348143,2
