"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
0,0.12,4.7,0.102265104,0.350850234,-0.056880671,50,15,0,0,0,0,0,0,1
2,2.71,0.76,0.20815974,0.438994415,0.204601064,50,20,1.5,0,0,0,0,0,1
1,6.13,5.5,0.346802105,0.037538817,-0.011152757,50,1,0.05,3,0,5.5,0,0.453353094,2
0,9.36,4.66,0.128405945,0.449880935,-0.146527772,50,8,0,0,0,0,0,0,2
1,41.13,5.5,0.315142655,0.114472611,-0.048963291,50,2,1.43,0,1,5.5,1.5,0.36589447,3
0,43.1,0.22,0.777035702,1.996603818,0.672136873,50,9,0,1,0,0,0,1.043112247,3
1,68.46,5.5,0.2304,0.1681,0,50,4,0.37,3,0,5.5,0,0.015051634,4
3,69.27,0,0.715068137,0.662691966,0.003690475,50,17,1.33,0,2,0,1.5,0.835098754,5
2,70.29,5.03,0.285222641,0.699870084,-0.352541516,50,22,1.5,0,4,5.5,1.5,0.029352709,4
2,70.51,0.24,0.614569816,1.453959573,0.770449036,50,21,1.5,3,0,0,1.5,0.309704658,5
3,101.49,0,1.783068189,1.127028274,0.505942281,50,18,0,4,0,0,0,2.444061969,6
0,101.86,5.11,1.326902271,1.93512363,-1.117894982,50,10,0,0,2,5.5,0,0.324336101,6
1,104.01,5.5,0.345508634,0.355308421,-0.028006319,50,6,1.07,0,1,5.5,1.5,0.087721547,6
0,140.42,5.21,1.005902659,2.531412944,-1.371303268,50,14,0,0,2,5.5,0,0.108818286,7
3,140.49,0,0.572563759,0.539878323,0.070049165,50,19,0,4,0,0,0,0.885101935,7
0,140.55,0.88,0.477065046,0.477533129,0.293900932,50,12,0,0,0,0,0,0,8
1,141.71,5.5,0.263196914,0.142347506,0.01044606,50,7,1.19,0,1,5.5,1.5,0.052491658,8
