"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,12.28,3.4,0.980180089,0.697759699,-0.066338524,50,5,1.5,0,0,0,0,0,1
0,13.14,2.32,1,0.7396,0,50,1,0,0,0,0,0,0,1
2,21.39,1.16,0.646864354,0.518618144,0.085623127,50,6,1.5,0,0,0,0,0,2
0,22.01,3.91,0.76599766,0.589225422,-0.103329263,50,2,0,0,0,0,0,0,2
1,57.74,5.5,0.375458737,0.588885191,0.122753073,50,9,0.14,3,0,5.5,0,0.699076177,3
2,58.45,5.06,0.601558683,0.498544095,-0.0571388,50,7,1.5,0,4,5.5,1.5,0.234602083,3
0,59.15,0.98,0.703749524,0.533845921,0.043065586,50,3,0,0,0,0,0,0,3
2,101.22,2.12,0.748879016,0.648553634,0.014969188,50,8,1.5,0,0,0,0,0,4
0,101.48,3.27,0.898879916,0.68729949,0.021665102,50,4,0,0,0,0,0,0,4
