"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,40.51,0,0.06866999,0.058576735,-0.004490799,50,10,0.91,0,0,0,0,0,1
0,42.49,2.2,0.276331352,0.360805101,0.245481458,50,1,0,0,0,0,0,0,1
1,61.87,5.5,0.030372455,0.035504039,-0.002448447,50,6,0.57,0,0,0,0,0,2
3,61.91,0,0.039727788,0.036958265,0.001845926,50,11,0.66,0,0,0,0,0,2
0,66.11,1.48,0.166580258,1.936232015,0.380372325,50,2,0,0,0,0,0,0,3
3,66.13,0,0.0576,0.0225,0,50,12,1.3,0,0,0,0,0,3
0,79.14,1.46,0.045155401,0.891966422,0.009818546,50,3,0,0,0,0,0,0,4
1,83.39,5.5,0.040711149,0.022122535,-0.000988903,50,7,0.79,0,0,0,0,0,4
0,106.19,3.33,0.173821259,0.200254489,0.121459001,50,4,0,0,0,0,0,0,5
1,109.07,5.5,0.0841,0.0144,0,50,8,1.31,0,0,0,0,0,5
