"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,32.13,0,0.09649928,0.030743601,0.019618675,50,16,1.49,0,2,0,1.5,0.126030652,1
2,32.92,0.39,0.921620878,1.703244725,1.081376793,50,2,1.5,3,0,0,1.5,0.154142007,1
1,36.39,5.5,0.0441,0.04,0,50,7,0.45,0,0,0,0,0,2
0,39.25,2.93,0.879107671,0.122877499,-0.099448014,50,1,0,0,0,0,0,0,2
1,60,5.5,0.0289,0.0144,0,50,8,0.09,3,0,5.5,0,0.008464522,3
2,61.55,5.11,0.153381659,0.440064868,-0.210968991,50,3,1.5,0,4,5.5,1.5,0.01302352,3
1,81.89,5.5,0.12396833,0.13237543,-0.022890867,50,9,1.22,0,1,5.5,1.5,0.023540731,4
3,82.67,0,0.088669026,0.076184279,0.000892423,50,12,1.28,0,2,0,1.5,0.016121191,4
2,83.27,0.89,0.201527751,0.859789656,0.296924487,50,4,1.5,3,0,0,1.5,0.000585783,4
1,89.81,5.5,0.125381099,0.054114275,-0.018370351,50,10,0.45,0,0,0,0,0,5
2,92.16,4.07,1.061668678,0.308086644,-0.503126371,50,5,1.5,0,0,0,0,0,5
3,120.24,0,0.109875652,0.101489327,-0.001102843,50,14,0.69,0,0,0,0,0,6
2,121.15,1.74,0.123815594,0.249810192,0.131889155,50,6,1.5,0,0,0,0,0,6
1,121.87,5.5,0.0484,0.0441,0,50,11,0.87,0,0,0,0,0,7
3,122.92,0,0.029388868,0.036374584,0.000884436,50,15,0.33,0,0,0,0,0,7
