"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,51.63,1.92,0.896903364,0.748434452,-0.122280654,50,10,1.5,0,0,0,0,0,1
0,53.02,3.97,0.609328017,0.304582688,0.076253463,50,3,0,0,0,0,0,0,1
2,93.07,3.93,0.999263174,0.991893528,-0.127926191,50,11,1.5,0,0,0,0,0,2
0,94.01,2.26,0.735038509,0.489309859,0.094021033,50,4,0,0,0,0,0,0,2
3,106.28,0,0.065924838,0.343494243,-0.069106758,50,9,0.52,4,0,0,0,0.000817531,3
1,106.3,5.5,0.078916518,0.188329491,0.003241606,50,1,1.38,0,1,5.5,1.5,0.072007279,3
2,131.07,2.54,0.537625367,0.506483154,-0.050195536,50,12,1.5,0,0,0,0,0,4
0,131.91,3.51,0.576930996,0.386023807,0.079941257,50,5,0,0,0,0,0,0,4
0,140.92,0.24,0.286998373,0.568474728,0.090208746,50,7,0,1,0,0,0,0.341792574,5
1,141.14,5.5,0.677459211,0.697834948,0.176643202,50,2,1.4,0,1,5.5,1.5,1.669425668,5
