"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,12.03,5.03,0.46492684,0.422841004,0.0216666,50,9,1.5,0,4,5.5,1.5,0.133856843,1
1,12.47,5.5,0.154158317,0.122626032,0,50,16,0.19,3,0,5.5,0,0.089185002,1
0,12.63,1.02,0.5041,0.4096,0,50,1,0,0,0,0,0,0,1
2,14.74,1,0.754799939,0.658435826,0.036174115,50,10,1.5,0,0,0,0,0,2
0,15.17,4.1,0.8281,0.6889,0,50,2,0,0,0,0,0,0,2
2,34.5,5.04,0.617926686,0.461026784,-0.002040158,50,11,1.5,0,4,5.5,1.5,0.223265274,3
1,34.87,5.5,0.321781296,0.344962966,-0.016004591,50,17,0.01,3,0,5.5,0,0.492954159,3
0,34.94,1.02,0.7396,0.5476,0,50,3,0,0,0,0,0,0,3
2,53.04,2.59,0.495401563,0.430419559,0.036985571,50,12,1.5,0,0,0,0,0,4
0,53.15,2.8,0.49,0.4489,0,50,4,0,0,0,0,0,0,4
2,72.5,2.2,0.489475253,0.416156985,0.026459325,50,13,1.5,0,0,0,0,0,5
0,72.53,3.11,0.490224042,0.421105785,-0.004518168,50,5,0,0,0,0,0,0,5
3,88.85,0,0.174026893,0.040642337,0.033809078,50,18,1.47,0,2,0,1.5,0.204470624,6
0,88.99,3.44,0.6724,0.4489,0,50,6,0,0,0,0,0,0,6
2,89.09,1.96,0.6561,0.3969,0,50,14,1.5,0,0,0,0,0,6
0,111.05,5.5,0.49,0.3844,0,50,7,0,0,2,5.5,0,0.7696902,7
3,111.12,0,0.512422135,0.628415832,-0.120432504,50,19,0.01,4,0,0,0,0.754660769,7
2,135.83,1.41,0.813908062,0.604430576,-0.004821383,50,15,1.5,0,0,0,0,0,8
0,135.98,3.96,0.64,0.4356,0,50,8,0,0,0,0,0,0,8
