"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,6.19,2.71,0.592362806,0.237660363,-0.191287666,50,8,1.5,0,0,0,0,0,1
3,9.11,0,0.064820544,0.070920163,0.013587578,50,19,0.8,0,0,0,0,0,1
1,23.17,5.5,0.398513532,0.459885068,-0.008031785,50,16,0.81,0,0,0,0,0,2
2,24.23,4.05,0.530723906,1.402612824,-0.308066809,50,9,1.5,0,0,0,0,0,2
0,30.3,5.43,0.4356,0.0484,0,50,2,0,0,2,5.5,0,0.534699821,3
3,30.76,0,0.516807217,1.058580581,0.395278152,50,20,0.85,4,2,0,1.5,0.141060346,3
0,35.82,1.25,0.16,0.3025,8.73e-18,50,1,0,0,0,0,0,0,4
2,36.28,2.74,0.208743274,0.366027291,-0.067483736,50,10,1.5,0,0,0,0,0,4
1,60.73,5.5,0.518821589,0.65534178,-0.077263012,50,17,1.21,0,1,5.5,1.5,0.39711437,5
0,61.06,0.19,0.4356,0.3364,0,50,3,0,1,0,0,0,0.42335233,5
2,61.88,3.8,0.734294693,1.156053813,-0.37985354,50,11,1.5,0,0,0,0,0,5
0,74.62,5.35,0.315480996,0.464983187,0.024937752,50,4,0,0,2,5.5,0,0.434966104,6
3,75.18,0,0.394973538,1.230517792,0.367895406,50,21,0.83,4,2,0,1.5,0.094305068,6
2,75.36,0.17,0.3025,0.2704,0,50,12,1.5,3,0,0,1.5,0.28687871,6
0,97.83,4.29,0.480244828,0.471616352,0.109990392,50,5,0,0,0,0,0,0,7
2,99.16,0.67,0.544456689,0.370130637,-0.139399728,50,13,1.5,0,0,0,0,0,7
1,102.14,5.5,0.549922696,0.647449235,-0.004302279,50,18,0.14,3,0,5.5,0,0.660970746,8
2,102.57,4.93,0.524884105,0.819408588,-0.103803613,50,14,1.5,0,4,5.5,1.5,0.139325376,8
0,132.43,2.88,0.57065513,0.666442433,0.069290457,50,6,0,0,0,0,0,0,9
2,132.79,1.79,0.420694646,0.570468173,-0.050269514,50,15,1.5,0,0,0,0,0,9
