"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,10.21,2.65,0.475881063,1.089854919,0.446039971,50,15,1.5,0,0,0,0,0,1
1,12.24,5.5,0.082545653,0.098915194,-0.026955175,50,1,1.04,0,0,0,0,0,1
2,15.91,1.78,0.290293742,1.783685954,0.495640351,50,16,1.5,0,0,0,0,0,2
1,21.7,5.5,0.022881804,0.009164981,0.003651022,50,5,0.11,0,0,0,0,0,2
3,56.85,0,0.736296603,0.394136754,-0.116540454,50,11,1.18,0,2,0,1.5,0.414099662,3
1,59.58,5.5,0.035113059,0.009920911,0.001493274,50,6,0.08,3,0,5.5,0,0.00726351,3
3,82.51,0,0.1225,0.0169,0,50,13,1.48,0,2,0,1.5,0.174649118,4
2,82.94,0.08,0.204024641,0.505708577,0.142223887,50,18,1.5,3,0,0,1.5,0.326240999,4
3,108.35,0,0.170224129,0.083219171,-0.011534655,50,12,0.04,4,0,0,0,0.230470351,5
0,108.42,5.37,0.166798692,0.300904546,-0.028601626,50,7,0,0,2,5.5,0,0.163160348,5
2,109.28,2.6,0.124184857,0.318225343,0.13624651,50,19,1.5,0,0,0,0,0,5
3,114.04,0,0.0625,0.0081,0,50,14,1.48,0,2,0,1.5,0.084192728,6
2,114.46,0.56,0.145096764,0.745403512,0.225349093,50,20,1.5,3,0,0,1.5,0.005960957,6
1,125.97,5.5,0.189538263,0.096303396,-0.014012836,50,3,0.53,0,0,0,0,0,7
0,126.17,3.15,0.331832975,0.522486264,-0.197949146,50,8,0,0,0,0,0,0,7
0,129.23,3.14,0.214695218,0.419219125,-0.1738903,50,9,0,0,0,0,0,0,8
1,132.36,5.5,0.0289,0.0324,2.14e-19,50,4,0.56,0,0,0,0,0,8
