"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,0.09,5.5,0.153029412,0.326567916,0.053340292,50,13,0.61,0,0,0,0,0,1
2,3.52,2.05,0.448738246,0.317171518,0.004215893,50,6,1.5,0,0,0,0,0,1
3,28.91,0,0.334959787,0.688249506,-0.016653696,50,14,0.28,4,0,0,0,0.253556382,2
0,29.3,1.71,0.44424972,0.239868621,0.060701732,50,2,0,0,0,0,0,0,3
2,29.49,4.48,0.448946377,0.485482257,0.000475073,50,7,1.5,0,0,0,0,0,3
0,30.38,5.18,0.270573314,0.404050758,-0.09138096,50,1,0,0,2,5.5,0,0.094262656,2
3,54.36,0,0.455151075,0.641066271,-0.101642898,50,16,0.73,4,2,0,1.5,0.005510344,4
2,55.11,3.37,0.520404074,0.317054406,0.007658891,50,8,1.5,0,0,0,0,0,4
0,55.73,4.58,0.304099903,0.295029522,-0.115623515,50,3,0,0,0,0,0,0,4
0,80.35,1.76,0.3364,0.2116,0,50,4,0,0,0,0,0,0,5
2,80.49,4.08,0.504311201,0.357136784,-0.013238637,50,9,1.5,0,0,0,0,0,5
1,112.46,5.5,0.065424773,0.036934402,0.003607061,50,11,0.06,3,0,5.5,0,0.06699177,6
0,112.48,1.43,0.230950394,0.256858189,0.061495994,50,5,0,0,0,0,0,0,6
1,143.16,5.5,0.272576796,0.423132897,-0.035807985,50,12,0.23,3,0,5.5,0,0.202961746,7
3,143.91,0,0.079093847,0.416149933,-0.076882927,50,18,0.93,0,2,0,1.5,0.002113057,7
