"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,11.61,5.1,0.132574252,0.422328615,-0.108586415,50,1,1.5,0,4,5.5,1.5,0.021054385,1
1,12.41,5.5,0.070790617,0.029428523,-0.00501718,50,10,0.02,3,0,5.5,0,0.098705174,1
3,22.08,0,0.145932838,0.138063276,0.000225257,50,18,0.9,0,0,0,0,0,2
2,23.47,4.86,0.39421657,1.586729995,-0.302267221,50,2,1.5,0,4,5.5,1.5,0.083985578,2
1,24.4,5.5,0.651084109,0.43320117,-0.008644639,50,11,0.15,3,0,5.5,0,0.767829977,2
1,34.4,5.5,0.045011665,0.037642272,-0.003141562,50,12,0.95,0,0,0,0,0,3
3,37.79,0,0.025298837,0.019179741,0.000472378,50,20,0.55,0,0,0,0,0,3
2,53.54,5,0.25757143,0.844435695,-0.188571843,50,3,1.5,0,4,5.5,1.5,0.04915573,4
3,53.84,0,0.22802535,0.154158317,0,50,21,1.32,0,2,0,1.5,0.172162218,4
1,54.73,5.5,0.68111787,0.401491004,-0.033622513,50,13,0.18,3,0,5.5,0,0.750450137,5
0,56.59,4.53,0.083187233,0.299231766,-0.034126685,50,4,0,0,0,0,0,0,5
3,75.32,0,0.023041211,0.022114626,0.000208006,50,22,0.53,0,0,0,0,0,6
0,78.56,1.67,0.068561026,0.454979206,0.098630249,50,5,0,0,0,0,0,0,6
3,85.4,0,0.081994975,0.045249255,0.001850995,50,23,0,4,0,0,0,0.128673201,7
0,87.56,4.92,0.766133872,1.406386917,-0.807085206,50,7,0,0,2,5.5,0,0.068436911,7
0,88.83,0.24,0.829602957,4.230265825,1.250184185,50,6,0,1,0,0,0,0.722708424,8
1,88.88,5.5,0.36,0.2601,0,50,14,1.09,0,1,5.5,1.5,0.06528209,8
3,119.51,0,0.268809868,0.175648151,0.012151673,50,24,0.98,0,0,0,0,0,9
0,119.73,0.35,0.910121613,1.797599399,0.955429829,50,9,0,1,0,0,0,0.588693579,9
1,119.86,5.5,0.3249,0.1521,0,50,16,1.47,0,1,5.5,1.5,0.474665538,9
