"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,8.74,5.5,0.337072279,0.386649041,0.06436579,50,18,0.84,0,0,0,0,0,1
2,9.2,4.81,0.426563065,0.28408666,0.138591788,50,8,1.5,0,0,0,0,0,1
0,9.53,3.51,0.652510283,0.342590186,0.02468948,50,1,0,0,0,0,0,0,1
2,20.47,3.57,0.208737539,0.314833581,0.053538518,50,9,1.5,0,0,0,0,0,2
0,20.66,1.09,1.063516692,0.633077302,-0.286893895,50,2,0,0,0,0,0,0,2
3,23.89,0,2.318326509,2.205997252,-1.264451997,50,22,1.06,4,2,0,1.5,1.092222391,3
0,24.03,5.36,0.7921,0.1156,0,50,3,0,0,2,5.5,0,0.834719127,3
2,24.12,0.69,0.580532956,0.614213963,-0.368963986,50,10,1.5,3,0,0,1.5,-0.002701141,3
2,53.86,4.05,0.314387677,0.254274276,0.143266657,50,11,1.5,0,0,0,0,0,4
0,54.35,0.31,0.605736343,0.398390073,-0.061582395,50,4,0,1,0,0,0,0.447787695,4
1,54.48,5.5,0.583281792,0.472476744,0.199250639,50,19,1.41,0,1,5.5,1.5,0.657865083,4
1,63.69,5.5,0.316316211,0.04065067,-0.000112291,50,20,0,3,0,5.5,0,0.496868414,5
2,64.17,5.43,0.494136807,0.204139691,0.040314623,50,17,1.5,0,4,5.5,1.5,0.659636527,5
3,66.26,0,0.718658735,0.132647826,-0.034493974,50,23,1.5,0,2,0,1.5,1.114775566,6
2,67.77,0.25,0.500862847,0.203822165,-0.258429746,50,16,1.5,3,0,0,1.5,0.010749995,6
2,70.48,3.03,0.51041237,0.280199256,0.072166002,50,12,1.5,0,0,0,0,0,7
0,71.16,1.99,0.977979211,0.563919747,-0.064310775,50,5,0,0,0,0,0,0,7
2,106.85,4.91,2.275593791,1.872412052,1.56152026,50,13,1.5,0,4,5.5,1.5,0.219736763,8
1,107.16,5.5,1.639256764,1.044622725,0.40573839,50,21,0.19,3,0,5.5,0,1.786795344,8
2,108.37,1.55,0.282583585,0.163572595,-0.055566999,50,14,1.5,0,0,0,0,0,9
0,109.44,4.7,1.178803614,0.768612138,0.330345546,50,6,0,0,2,5.5,0,0.057969476,9
3,110.49,0,0.673840184,0.583980155,-0.538753683,50,24,0.14,4,0,0,0,0.150204081,9
2,112.19,3.33,1.07587823,0.566493218,0.37743507,50,15,1.5,0,0,0,0,0,10
0,113.29,1.16,1.269743023,0.896786749,-0.368204546,50,7,0,0,0,0,0,0,10
