"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,0,4.25,1.766290025,1.550215182,-0.417524184,50,8,1.5,0,0,0,0,0,1
0,0.73,2,0.416466978,0.523629094,0.085692125,50,1,0,0,0,0,0,0,1
1,27.49,5.5,0.319522684,0.992334126,0.252566623,50,15,0.98,3,1,5.5,1.5,0.109298824,2
0,28.61,0.57,0.48951197,0.651761598,0.333241759,50,2,0,1,0,0,0,0.089668307,2
3,30.31,0,0.588028857,0.917170053,-0.279084827,50,20,0.53,4,0,0,0,0.136045344,3
2,31.49,0.1,0.66907462,0.342027222,-0.02137865,50,9,1.5,3,0,0,1.5,0.874417536,3
0,32.13,5.04,0.38564891,1.088622155,-0.051392297,50,3,0,0,2,5.5,0,0.188351358,3
1,33.8,5.5,0.120397547,0.152478124,0.009967294,50,16,0.1,3,0,5.5,0,0.186881179,4
2,34,5.16,0.290002205,0.295472331,0.024144879,50,10,1.5,0,4,5.5,1.5,0.464999963,4
1,55.33,5.5,2.105852862,2.732316565,0.846549001,50,18,0.71,3,1,5.5,1.5,2.75910877,5
2,55.78,5.35,0.5041,0.1444,0,50,11,1.5,0,4,5.5,1.5,0.504650346,5
0,56.9,0.63,0.439589144,0.624214542,0.120729192,50,4,0,1,0,0,0,0.154355644,5
2,88.53,1.71,1.0201,0.9409,0,50,12,1.5,0,0,0,0,0,6
0,89.46,3.47,0.5776,0.5041,0,50,5,0,0,0,0,0,0,6
1,118.71,5.5,0.580380664,1.39446717,0.655620282,50,19,0.84,3,1,5.5,1.5,0.092918861,7
2,118.92,5.33,1.09156853,0.76206845,-0.148385467,50,13,1.5,0,4,5.5,1.5,1.281518705,7
0,119.69,0.89,0.933055847,0.891862251,0.20866456,50,6,0,1,0,0,0,0.026467788,7
2,125.21,1.57,0.872793786,0.740425759,0.113270359,50,14,1.5,0,0,0,0,0,8
0,125.83,3.47,0.376086724,0.48261667,-0.028410905,50,7,0,0,0,0,0,0,8
