"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,0.57,0,0.588268868,0.500480006,-0.327577405,50,9,0.35,4,0,0,0,0.127043,1
2,0.97,0.5,0.674775873,0.440849517,0.098117512,50,4,1.5,3,0,0,1.5,0.12707361,1
0,1.99,5.17,0.81,0.4096,0,50,1,0,0,2,5.5,0,0.566168033,1
2,36.03,0.72,0.458430779,0.288702545,0.01915556,50,5,1.5,0,0,0,0,0,2
0,36.87,4.59,0.6084,0.4356,0,50,2,0,0,0,0,0,0,2
1,41.33,5.5,0.843104769,1.047767911,0.297982356,50,8,0.43,3,0,5.5,0,1.354273981,3
2,41.93,5.13,1.239121869,1.226122899,0.451667607,50,6,1.5,0,4,5.5,1.5,0.919057324,3
3,83.38,0,0.775629068,1.072524622,-0.707583217,50,10,0.84,4,2,0,1.5,0.084144668,4
2,83.47,0.42,0.538796012,0.372356608,0.048091447,50,7,1.5,3,0,0,1.5,0.160241845,4
0,84.39,5,0.9409,0.5929,0,50,3,0,0,2,5.5,0,0.40555161,4
