"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,34.53,0,0.3025,0.2209,0,50,12,0.57,0,0,0,0,0,1
2,34.76,4.22,0.326524968,0.544733961,-0.34201947,50,1,1.5,0,0,0,0,0,1
2,58.72,4.85,0.513094641,2.587079144,-0.778552845,50,2,1.5,0,4,5.5,1.5,0.06630666,2
1,58.81,5.5,0.37881563,0.070378784,0,50,7,0,3,0,5.5,0,0.595042201,2
2,106.88,5.42,0.390703267,3.262044018,-0.468106699,50,4,1.5,0,4,5.5,1.5,0.427797623,3
1,106.98,5.5,0.281510724,0.270487619,-0.00022058,50,8,0.28,3,0,5.5,0,0.156416902,3
2,127.94,5.26,0.323861413,0.836772489,-0.298602527,50,6,1.5,0,4,5.5,1.5,0.125175194,4
3,128.95,0,0.055591295,0.059495655,-0.000544487,50,14,0.44,0,0,0,0,0,4
3,139.72,0,0.049425307,0.016560087,-0.002773177,50,15,1.17,0,0,0,0,0,5
2,141.84,0.88,0.634981653,1.116515154,0.662056361,50,5,1.5,3,0,0,1.5,-0.004746733,5
