"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,4.24,0,0.342177709,0.371912789,0.136115194,50,17,0.01,4,0,0,0,0.814386883,1
0,5.65,5.2,0.259635807,0.470736736,0.140701732,50,6,0,0,2,5.5,0,0.244215584,1
2,24.76,2.68,0.304854793,0.248832654,-0.00213295,50,7,1.5,0,0,0,0,0,2
1,25.95,5.5,0.2704,0.1024,0,50,14,1.3,0,1,5.5,1.5,0.146728972,2
0,26.7,0.37,0.426791532,1.049044612,-0.455152211,50,1,0,1,0,0,0,0.062031319,2
1,56.2,5.5,0.3136,0.1369,0,50,15,1.31,0,1,5.5,1.5,0.227573821,3
2,56.48,1.1,0.318964193,0.368155718,-0.044303902,50,8,1.5,0,0,0,0,0,3
0,56.64,0.77,0.468867224,2.104861002,-0.771262128,50,3,0,1,0,0,0,0.003997918,3
3,69.48,0,0.0441,0.0144,0,50,18,0.16,0,0,0,0,0,4
0,70.07,4.34,0.013625893,0.316316256,1.85e-17,50,4,0,0,0,0,0,0,4
1,79.31,5.5,0.0484,0.0484,0,50,16,0.88,0,0,0,0,0,5
2,82.05,4.86,0.328350482,0.636807251,0.145762537,50,10,1.5,0,4,5.5,1.5,0.08222527,5
2,113.28,2.64,0.307062258,0.251135071,-0.040559213,50,11,1.5,0,0,0,0,0,6
0,113.98,3.59,0.249812597,0.341184229,0.120352921,50,5,0,0,0,0,0,0,6
3,114.4,0,0.2704,0.2025,0,50,19,1.47,0,2,0,1.5,0.393069031,7
2,114.58,0.42,0.417678095,0.532843399,-0.135140943,50,13,1.5,3,0,0,1.5,0.126843299,7
