"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,42.5,0.45,0.523662722,0.560282624,-0.089584363,50,6,1.5,3,0,0,1.5,0.200475472,1
3,42.5,0,0.171271805,0.06486192,-4.33e-05,50,15,1.48,0,2,0,1.5,0.251455169,1
0,52.02,1.29,0.2189076,0.25215805,-0.072043472,50,1,0,0,0,0,0,0,2
1,52.58,5.5,0.260105902,0.319484516,-0.041271,50,12,0.28,3,0,5.5,0,0.134567119,2
2,52.87,5.28,0.428275836,0.496116935,0.11673221,50,8,1.5,0,4,5.5,1.5,0.846496024,2
0,52.94,5.28,0.481671724,0.940353701,0.422200039,50,2,0,0,2,5.5,0,0.540358139,3
3,53.37,0,0.888179028,0.438834566,0.204323385,50,16,0.37,4,0,0,0,0.359520869,3
0,86.04,0.02,0.21235843,0.503078316,-0.062487887,50,3,0,1,0,0,0,0.303461321,4
1,86.06,5.5,0.210059727,0.246450845,-0.023366898,50,13,1.47,0,1,5.5,1.5,0.299477004,4
0,88.15,4.1,0.49903615,0.452928536,0.199227395,50,4,0,0,0,0,0,0,5
2,89.44,0,0.685657382,0.66078861,-0.152023195,50,9,1.5,3,0,0,1.5,1.022089616,5
3,89.45,0,1.02142311,1.004060996,0.492882289,50,17,1.4,0,2,0,1.5,1.047843689,5
3,114.81,0,0.387186568,0.370462699,0.11402423,50,18,0.89,0,0,0,0,0,6
2,119.84,2.02,0.490518125,0.419010248,2.91e-05,50,11,1.5,0,0,0,0,0,6
