"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
0,37.92,1.53,0.33200898,0.364229951,-0.026949866,50,3,0,0,0,0,0,0,1
2,38.23,4.72,0.362898101,0.348030813,0.023302899,50,15,1.5,0,0,0,0,0,1
3,40.02,0,0.367953722,0.892783743,0.201984864,50,11,1.47,0,2,0,1.5,0.676224467,2
0,41.75,4.81,0.280444198,0.323631437,0.012226011,50,4,0,0,0,0,0,0,2
0,62.29,4.09,0.400426518,0.315041982,0.012646986,50,5,0,0,0,0,0,0,3
2,63.05,1.06,0.53493999,0.409006738,-0.01442379,50,16,1.5,0,0,0,0,0,3
0,87.13,1.98,0.37534564,0.325999514,-0.07037508,50,6,0,0,0,0,0,0,4
2,87.88,4.2,0.4761,0.4489,0,50,17,1.5,0,0,0,0,0,4
3,91.45,0,0.422538257,1.294092563,0.224659351,50,12,1.42,0,2,0,1.5,0.688242821,5
0,92.36,4.67,0.28916629,0.378661839,0.059751386,50,8,0,0,0,0,0,0,5
0,93.3,1.62,0.486602283,0.421985206,-0.103851812,50,7,0,0,0,0,0,0,6
2,93.39,0.1,0.714034793,0.662809133,-0.010324811,50,18,1.5,3,0,0,1.5,0.952201798,5
2,94.41,4.37,0.69616084,0.535046952,0.085644605,50,19,1.5,0,0,0,0,0,6
2,111.44,4.85,0.694850915,0.7027382,0.094719287,50,20,1.5,0,4,5.5,1.5,0.745649174,7
0,111.82,1.37,0.539639417,0.63643202,-0.089950018,50,9,0,0,0,0,0,0,7
1,111.98,5.5,0.473437156,0.514306426,0.00359195,50,2,0.09,3,0,5.5,0,0.702679437,7
0,134.31,4.29,0.594795713,0.466611948,0,50,10,0,0,0,0,0,0,8
2,134.43,1.02,0.811985975,0.680254844,0.052309462,50,21,1.5,0,0,0,0,0,8
