"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,11.19,5.5,0.031366553,0.029254402,0.003623298,50,4,1.5,0,1,5.5,1.5,0.048552212,1
0,12.12,0.38,0.098283178,0.321673336,0.114359743,50,7,0,1,0,0,0,0.005802714,1
3,20.15,0,0.279442264,0.495269041,-0.085703224,50,10,0.69,4,0,0,0,0.000699953,2
1,23.24,5.5,0.34284944,0.107666015,0.015754753,50,1,1.46,0,1,5.5,1.5,0.483920105,3
0,24.03,0.17,0.301157881,0.868503667,0.157188506,50,8,0,1,0,0,0,0.403128909,3
2,27.85,3.71,0.302316063,0.370501117,-0.023786591,50,14,1.5,0,0,0,0,0,2
1,53.54,5.5,0.328609788,0.140001505,0.00813021,50,2,1.48,0,1,5.5,1.5,0.491797069,4
0,54.1,0.08,0.187497757,0.368910656,0.052804057,50,9,0,1,0,0,0,0.314706609,4
3,59.42,0,0.0346236,0.06845122,0.00430413,50,11,0.98,0,0,0,0,0,5
2,61.87,5.36,0.111771332,0.29840505,-0.040336722,50,15,1.5,0,4,5.5,1.5,0.089235644,5
1,62.04,5.5,0.1225,0.0256,0,50,6,0.01,3,0,5.5,0,0.184825446,5
3,90.31,0,0.068257242,0.047317426,-0.001754147,50,12,0.08,4,0,0,0,0.063201829,6
1,92.58,5.5,0.047171496,0.057077988,6.07e-19,50,3,0.63,0,0,0,0,0,6
