"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
0,0.93,4.34,0.344575503,0.192559552,-0.022516297,50,7,0,0,0,0,0,0,1
3,1.95,0,0.118263207,0.28993304,0.05648201,50,8,0.45,4,0,0,0,0.01224416,1
1,73.26,5.5,0.09,0.1024,7.59e-19,50,2,1.2,0,1,5.5,1.5,0.002470083,2
3,73.57,0,0.127083548,0.160960833,0.02134537,50,9,0.97,0,0,0,0,0,2
3,87.15,0,0.019209082,0.022906884,0.000832742,50,10,0.95,0,0,0,0,0,3
1,93.53,5.5,0.101362279,0.013724975,0.002948407,50,6,1.47,0,1,5.5,1.5,0.131489602,3
3,119.16,0,0.2116,0.3249,6.94e-18,50,11,0.57,0,0,0,1.5,-0.000322746,4
1,119.52,5.5,0.115673659,0.180820562,0.004895856,50,4,1.09,0,1,5.5,1.5,0.002204383,4
