"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,0.77,0,0.451606666,0.599731548,0.044194113,50,12,1.28,0,2,0,1.5,0.660339163,1
2,1.81,0.06,0.323103593,0.301635455,0.009722719,50,20,1.5,3,0,0,1.5,0.438178632,1
0,40.18,0.85,0.313568835,0.287870334,-0.045089902,50,7,0,0,0,0,0,0,2
1,40.23,5.5,0.35405871,0.385915819,-0.013723911,50,1,0.62,3,0,5.5,0,5.48e-05,2
3,40.67,0,0.2704,0.1024,0,50,14,0.07,4,0,0,0,0.340629818,3
0,41.32,5.5,0.25679006,0.363962728,0.043438351,50,8,0,0,2,5.5,0,0.560136439,3
1,84.23,5.5,0.383966988,0.573785634,-0.116980016,50,3,1.34,0,1,5.5,1.5,0.380550769,4
0,84.23,0.16,0.335408298,0.267476064,0.01103028,50,9,0,1,0,0,0,0.331540534,4
2,92.33,2.56,0.3025,0.2401,0,50,23,1.5,0,0,0,0,0,5
1,92.49,5.5,0.376337044,0.193694618,-0.089262798,50,4,1.5,0,1,5.5,1.5,0.526529694,5
0,112.97,5.25,0.440500625,0.893337068,0.084497643,50,10,0,0,2,5.5,0,0.537926533,6
3,113.11,0,0.688395267,0.995129605,0.041785881,50,18,0.09,4,0,0,0,1.115689181,6
0,133.46,0.47,0.351940279,0.276491443,-0.054716598,50,11,0,1,0,0,0,0.026720243,7
2,133.49,5.37,0.4624,0.1089,0,50,24,1.5,0,4,5.5,1.5,0.47531521,7
1,133.58,5.5,0.347669963,1.184959433,-0.063271963,50,6,0.83,3,1,5.5,1.5,0.083516383,7
