"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,32.25,0,0.1521,0.0484,0,50,17,0.06,4,0,0,0,0.181377786,1
0,33.42,4.6,1.933938553,4.161591909,-2.652094354,50,4,0,0,2,5.5,0,0.079701078,1
3,36.82,0,0.212428788,0.082088002,5.31e-05,50,18,1.38,0,2,0,1.5,0.194642853,2
2,37.38,0.19,0.2566122,0.304822792,0.1725572,50,1,1.5,3,0,0,1.5,0.314492551,2
2,40.94,4.47,0.262606167,0.191427408,-0.069924577,50,2,1.5,0,0,0,0,0,3
0,41.52,2.88,1.195087581,0.139071698,-0.28108087,50,5,0,0,0,0,0,0,3
1,83.68,5.5,0.132291506,0.072314255,0.010946703,50,11,1.04,0,0,0,0,0,4
0,83.75,3.4,0.619202348,1.603879613,-0.8015915,50,7,0,0,0,0,0,0,4
1,92.07,5.5,0.087327852,0.066833419,0.006655223,50,12,0.83,0,0,0,0,0,5
0,92.86,4.18,0.025751318,0.304519655,-0.010779826,50,8,0,0,0,0,0,0,5
1,96.12,5.5,0.217620419,0.149250596,0.028629459,50,13,1.01,0,0,0,0,0,6
0,96.92,0.58,2.007141833,1.516203519,1.589685427,50,9,0,1,0,0,0,0.135681936,6
1,131.28,5.5,0.0625,0.0324,0,50,14,1.25,0,0,0,0,0,7
3,132.18,0,0.065364492,0.033054024,-0.004090709,50,22,0.46,0,0,0,0,0,7
