"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,19.5,5.5,0.325822584,0.428326057,0.077751638,50,9,0.94,0,1,5.5,1.5,0.119184134,1
2,19.88,4.25,0.232076727,0.383085673,0.147320904,50,5,1.5,0,0,0,0,0,1
2,59.72,2.83,0.312267505,0.258526626,0.155413689,50,6,1.5,0,0,0,0,0,2
0,60.29,5.13,0.30666467,0.385981022,0.081515884,50,1,0,0,2,5.5,0,0.321539818,3
0,60.49,1.07,0.519061744,0.513608997,-0.189463431,50,2,0,0,0,0,0,0,2
3,61.27,0,0.092198093,0.117025812,-0.03776192,50,16,0.3,4,0,0,0,0.002645457,3
0,94.17,5.15,0.261545872,0.324735523,0.040979858,50,3,0,0,2,5.5,0,0.250022445,4
3,94.49,0,0.108480038,0.065044394,0.002821336,50,17,0.03,4,0,0,0,0.149434077,4
2,95.54,3.66,0.44700454,0.694942731,0.370614905,50,7,1.5,0,0,0,0,0,5
1,96.25,5.5,0.78571225,0.824582904,0.19689779,50,11,1.03,0,1,5.5,1.5,1.343251673,5
0,135.67,1.44,0.311517416,0.500114346,-0.134691919,50,4,0,0,0,0,0,0,6
1,137.19,5.5,0.188125229,0.02198631,-0.032219583,50,13,0.9,0,0,0,0,0,6
2,138.36,4.12,2.142911613,0.757499291,1.004721246,50,8,1.5,0,0,0,0,0,6
