"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,21.41,5.5,0.158291153,0.165066977,0.001807072,50,1,0.56,0,0,0,0,0,1
3,21.72,0,0.262056298,0.720585232,0.26055083,50,7,1.28,0,2,0,1.5,0.233626393,1
2,36.82,0.1,0.415348697,0.20512704,-0.024964433,50,15,1.5,3,0,0,1.5,0.509758729,2
3,36.91,0,0.294340907,0.419978051,0.175566522,50,8,1.32,0,2,0,1.5,0.441491022,2
1,81.4,5.5,0.324307796,0.264628416,-0.005676901,50,2,1.26,0,1,5.5,1.5,0.226358706,3
0,81.44,0.36,0.245690816,1.284219665,-0.173232074,50,5,0,1,0,0,0,0.108254835,3
3,81.78,0,0.327584935,0.379253113,0.073590652,50,11,1.1,0,2,0,1.5,0.348082843,3
3,123.38,0,0.212346898,0.263808502,0.058304375,50,12,0.51,4,0,0,0,0.001212103,4
0,124.38,2.12,0.223333627,0.292139708,-0.112164103,50,6,0,0,0,0,0,0,4
2,124.88,5.26,0.65349496,0.968804503,0.149000844,50,18,1.5,0,4,5.5,1.5,1.098652152,5
1,125.16,5.5,0.398045305,0.233312635,-0.051181714,50,3,0.01,3,0,5.5,0,0.595145696,5
