"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,19.93,0,1,0.25,0,50,11,1.42,0,2,0,1.5,1.382349581,1
2,19.99,0.17,1.339603226,0.436652403,0.058650624,50,7,1.5,3,0,0,1.5,1.601266071,1
1,22.42,5.5,0.619692319,0.929129954,-0.165543692,50,8,0.8,3,1,5.5,1.5,0.1082325,2
0,22.63,0.22,0.904767038,0.908889888,0.02558787,50,1,0,1,0,0,0,2.274585835,2
2,22.81,4.84,0.687598877,0.460942225,-0.006260415,50,4,1.5,0,4,5.5,1.5,0.007140305,2
0,85.51,3.01,0.973643377,0.758476905,0.007887599,50,2,0,0,0,0,0,0,3
2,85.53,2.54,0.840285274,0.669314563,-0.046923102,50,5,1.5,0,0,0,0,0,3
1,109.12,5.5,0.325489632,0.331568983,-0.180955605,50,10,1.42,0,1,5.5,1.5,0.272651651,4
0,109.51,0.88,1.463509113,1.780128027,0.205334228,50,3,0,1,0,0,0,1.250024322,4
2,109.74,3.75,1.446352963,1.466793428,-0.307691137,50,6,1.5,0,0,0,0,0,4
