"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
0,6.28,3.73,1.227072208,1.327927114,0.000806908,50,2,0,0,0,0,0,0,1
2,6.5,2.05,2.3604207,1.610127404,0.016210902,50,8,1.5,0,0,0,0,0,1
2,73.94,0.18,1.724344842,1.632126532,0.001291394,50,9,1.5,3,0,0,1.5,2.234619927,2
3,74.67,0,1.858477875,4.637802809,-1.648563533,50,7,1.05,4,2,0,1.5,1.011059714,2
0,75.07,5.11,1.802366219,1.2524865,0.049231588,50,3,0,0,2,5.5,0,1.731028836,2
2,80.44,5.42,1.747304008,1.762302515,-0.237156387,50,10,1.5,0,4,5.5,1.5,2.484499808,3
1,80.8,5.5,1.726872989,4.387886911,0.811340252,50,1,0.6,3,1,5.5,1.5,1.230047054,3
0,81.44,0.8,1.963877561,2.058779881,0.168309054,50,4,0,1,0,0,0,3.184504626,3
2,113.34,0.16,1.54177776,1.287174617,0.002036999,50,11,1.5,3,0,0,1.5,2.018118589,4
3,113.6,0,1.195112607,3.237342086,-0.722210165,50,6,0.76,4,2,0,1.5,0.398642173,4
0,113.86,5.32,1.307497276,1.246866053,0.000460387,50,5,0,0,2,5.5,0,1.641688624,4
