"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,0.8,5.5,0.08894236,0.08672501,0.011660286,50,10,0.46,0,0,0,0,0,1
0,2.86,1.8,0.101250264,0.491662834,0.15000018,50,1,0,0,0,0,0,0,1
1,8.22,5.5,0.045192255,0.05953416,-0.000719495,50,11,1.01,0,0,0,0,0,2
0,9.74,3.82,0.149286236,0.557660212,-0.247594705,50,2,0,0,0,0,0,0,2
0,24.11,4.53,1.610949643,3.062363083,-1.990485763,50,4,0,0,2,5.5,0,0.086872256,3
3,24.54,0,0.979360869,0.339146915,0.083785761,50,21,0,4,0,0,0,1.505857456,3
2,29.22,0.02,0.464169595,0.584003941,0.171125234,50,7,1.5,3,0,0,1.5,1.088498337,4
3,29.32,0,0.573556992,0.611176163,-0.163717466,50,22,1.21,0,2,0,1.5,0.366932102,4
0,89.94,5,0.327562515,0.58073173,-0.271973566,50,6,0,0,2,5.5,0,0.044064358,5
3,90.29,0,0.614277214,0.466084694,0.027215308,50,24,0.36,4,0,0,0,0.358167351,5
1,90.31,5.5,0.584103977,0.461341095,-0.003440958,50,13,0.77,0,0,0,0,0,5
3,102.92,0,0.1225,0.0784,0,50,25,1.41,0,2,0,1.5,0.124162972,6
2,103.12,0.46,0.174984457,0.64757692,0.195023811,50,9,1.5,3,0,0,1.5,0.024778656,6
1,103.31,5.5,0.088286227,0.028828654,-2.42e-05,50,15,1.42,0,1,5.5,1.5,0.074707455,6
1,117.08,5.5,0.450461993,0.094664642,-0.083316986,50,16,1.5,0,1,5.5,1.5,0.59239825,7
0,117.18,0.24,0.62074788,0.727682118,0.102501376,50,5,0,1,0,0,0,1.253216843,7
1,131.45,5.5,0.008716731,0.022925045,0.007462598,50,19,0.03,3,0,5.5,0,0.010611418,8
3,131.45,0,0.447018047,0.304528934,0.002222504,50,26,1.12,0,2,0,1.5,0.161164416,8
