"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,21.76,1.95,2.477264094,1.878141035,-0.008389916,50,9,1.5,0,0,0,0,0,1
0,22.67,3.6,2.267272736,1.533252621,0.015123974,50,2,0,0,0,0,0,0,1
2,72.63,1.67,2.311241352,1.438055443,-0.007859522,50,10,1.5,0,0,0,0,0,2
0,73.4,3.52,1.709574432,1.058520186,-0.037271693,50,3,0,0,0,0,0,0,2
2,76.36,5.49,0.561696098,0.132587413,-0.006009092,50,11,1.5,0,4,5.5,1.5,0.866350619,3
1,76.47,5.5,1.062527734,1.570655416,0.23291651,50,1,0.96,3,1,5.5,1.5,1.287374216,3
0,77.04,0.07,1.036536857,0.389181304,-0.048257168,50,4,0,1,0,0,0,1.466936696,3
2,92.35,3.35,1.603008119,1.204501299,0.070035224,50,12,1.5,0,0,0,0,0,4
0,92.89,2.27,1.598806006,1.043650922,0.027850652,50,5,0,0,0,0,0,0,4
3,107.9,0,1.133362352,2.071783094,-0.218374014,50,8,0.98,4,2,0,1.5,0.777987268,5
2,108.22,0.2,1.183228678,0.455560044,-0.082889908,50,13,1.5,3,0,0,1.5,1.34305015,5
0,108.33,5.09,0.991379291,0.847910341,-0.001663484,50,6,0,0,2,5.5,0,0.73108105,5
2,143.94,4.16,0.264153203,0.545780224,-0.004110853,50,14,1.5,0,0,0,0,0,6
0,144,1.38,0.204517649,0.453662257,0.017959829,50,7,0,0,0,0,0,0,6
