"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
0,7.74,3.79,0.74285056,0.529012298,0.056917558,50,5,0,0,0,0,0,0,1
2,7.77,1.2,0.634173069,0.738809425,-0.054649058,50,1,1.5,0,0,0,0,0,1
2,41.06,3.4,0.386418551,0.280922798,-0.038555097,50,2,1.5,0,0,0,0,0,2
0,41.1,2.02,0.403036087,0.275001619,0.017937018,50,6,0,0,0,0,0,0,2
0,62.78,4.04,0.482038616,0.362326811,-0.023630031,50,7,0,0,0,0,0,0,3
2,62.83,1.08,0.56052964,0.436438488,0.00836423,50,3,1.5,0,0,0,0,0,3
0,94.64,2.03,0.673331372,0.487815346,-0.044030157,50,8,0,0,0,0,0,0,4
2,94.72,3.25,0.679112195,0.532370581,-0.008637555,50,4,1.5,0,0,0,0,0,4
3,115.61,0,0.92633606,0.784329821,-0.017526234,50,11,0.07,4,0,0,0,1.318977504,5
0,116.01,5.5,1.20674516,0.75710158,-0.004497035,50,9,0,0,2,5.5,0,1.895410869,5
