"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
0,19.77,1.99,0.346744303,0.232111987,4.67e-05,50,1,0,0,0,0,0,0,1
2,20.05,3.36,0.439701983,0.309186461,-0.007682449,50,21,1.5,0,0,0,0,0,1
3,40.35,0,0.2355134,0.357125148,0.076183651,50,16,0.89,0,0,0,0,0,2
1,40.73,5.5,0.318817885,0.607390376,-0.106087777,50,10,0.71,3,0,5.5,0,0.006703069,3
0,40.87,4.59,0.241258133,0.284613897,0.045618496,50,3,0,0,0,0,0,0,2
0,41.21,0.59,0.262559148,0.246561061,-0.063974685,50,2,0,0,0,0,0,0,3
0,58.17,1.23,0.353113563,0.184627209,-0.079112425,50,4,0,0,0,0,0,0,4
2,58.42,4.64,0.311277728,0.243628894,0.04315335,50,22,1.5,0,0,0,0,0,4
0,71.6,4.17,0.269647902,0.285368942,0.04785707,50,5,0,0,0,0,0,0,5
3,71.79,0,0.222147861,0.290522714,0.038294419,50,17,1.27,0,2,0,1.5,0.308247112,5
0,98.19,1.31,0.342928739,0.225102951,-0.028168092,50,6,0,0,0,0,0,0,6
2,98.86,4.42,0.335332113,0.28474992,0.041660059,50,23,1.5,0,0,0,0,0,6
0,99.29,4.11,0.326687246,0.312318015,0.106102002,50,7,0,0,0,0,0,0,7
3,99.92,0,0.208853322,0.231185774,0.028652089,50,19,1.41,0,2,0,1.5,0.474159991,7
0,125.6,1.53,0.360063335,0.126709192,-0.034714434,50,8,0,0,0,0,0,0,8
2,126.47,4.03,0.383069872,0.232155202,-0.013823357,50,24,1.5,0,0,0,0,0,8
0,128.83,0.59,0.299985553,0.218132755,-0.073030082,50,9,0,0,0,0,0,0,9
1,129.47,5.5,0.546757044,0.574995878,-0.253634239,50,12,0.62,3,0,5.5,0,0.025044127,9
