"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,15.31,5.5,0.070898526,0.036976791,0.004114672,50,9,0.18,3,0,5.5,0,0.002229195,1
3,18.15,0,0.0324,0.04,4.65e-19,50,22,0.04,4,0,0,0,0.03701911,1
2,46.97,3.02,0.2595561,0.319387917,-0.137127139,50,8,1.5,0,0,0,0,0,2
3,47.4,0,0.5329,0.2209,0,50,16,0.18,4,0,0,0,0.516759931,3
1,47.96,5.5,0.064861902,0.045041573,0,50,10,1.2,0,0,0,0,0,3
0,49.54,4.83,0.224771689,0.50592961,-0.253931133,50,4,0,0,2,5.5,0,0.000235533,2
0,55.98,2.58,0.217324453,2.428957243,0.563366951,50,2,0,0,0,0,0,0,4
3,59.44,0,0.1369,0.0841,0,50,18,0.26,4,0,0,0,0.010518832,4
3,78.48,0,0.273652505,0.184660204,-0.079621184,50,19,0.18,4,0,0,0,0.200120688,5
0,80.81,4.91,0.188280932,0.590620994,-0.294810252,50,7,0,0,2,5.5,0,0.001721969,5
