"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,11.98,0,0.0625,0.0289,0,50,16,1.47,0,2,0,1.5,0.081702452,1
2,12.14,0.57,0.21710712,1.177613106,0.368130885,50,22,1.5,3,0,0,1.5,0.012453035,1
1,46.7,5.5,0.435797614,0.421002511,-0.004334351,50,1,0,3,0,5.5,0,0.684441454,2
2,47.88,5.23,2.408070648,10.86607515,-4.786771105,50,24,1.5,0,4,5.5,1.5,0.186906623,2
1,52.05,5.5,0.175989488,0.123887499,-0.022940834,50,2,1.32,0,1,5.5,1.5,0.09996865,3
0,52.45,0.3,0.224766393,1.590018313,0.187453276,50,9,0,1,0,0,0,0.160112214,3
0,72.82,4.77,0.180422451,0.242125303,-0.097247337,50,10,0,0,0,0,0,0,4
2,74.01,2.89,0.18491499,0.427782238,-0.19559186,50,27,1.5,0,0,0,0,0,4
1,91.37,5.5,0.5041,0.1849,0,50,3,1.39,0,1,5.5,1.5,0.60673774,5
0,91.55,0.6,0.948362888,3.681011682,1.58444959,50,11,0,1,0,0,0,0.084993714,5
3,93.36,0,0.024228608,0.038176157,0.00253919,50,20,1.38,0,2,0,1.5,0.012308785,6
1,93.5,5.5,0.10569487,0.098427839,0.009118219,50,4,0.75,0,0,0,0,0,6
1,124.94,5.5,0.0324,0.0289,0,50,6,0.73,0,0,0,0,0,7
3,126.81,0,0.098348001,0.046644867,0.00597627,50,21,1.2,0,0,0,0,0,7
