"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
1,15.26,5.5,0.0441,0.0361,0,50,1,1,0,0,0,0,0,1
3,15.63,0,0.0324,0.0256,0,50,13,1.08,0,0,0,0,0,1
2,26.14,5.14,0.132304626,0.499210608,0.065966356,50,17,1.5,0,4,5.5,1.5,0.051314184,2
1,26.65,5.5,0.1089,0.0144,0,50,2,0.02,3,0,5.5,0,0.153904406,2
0,32.52,0.58,0.460547232,3.674131098,-0.924259711,50,8,0,1,0,0,0,0.050068775,3
1,32.73,5.5,0.264144024,0.117437016,-0.003022796,50,3,1.44,0,1,5.5,1.5,0.34637262,3
2,36.49,3.64,0.282054649,0.344140045,0.080321811,50,18,1.5,0,0,0,0,0,4
0,42.89,1.41,0.035173687,1.483955673,-0.091159807,50,9,0,0,0,0,0,0,4
3,62.19,0,0.150532234,0.117456368,0.002567168,50,14,0.54,0,0,0,0,0,5
2,62.98,4.03,0.209975647,0.393531814,0.062251296,50,19,1.5,0,0,0,0,0,5
0,94.63,0.63,0.254243543,3.412263405,-0.467759558,50,10,0,1,0,0,0,0.047715724,6
1,94.74,5.5,0.174233767,0.089107049,-0.006136442,50,4,1.45,0,1,5.5,1.5,0.22730774,6
3,101.37,0,0.359410724,0.253370435,-0.002291116,50,16,0.76,0,0,0,0,0,7
2,103.04,3.87,0.440360851,0.382673646,0.139697263,50,20,1.5,0,0,0,0,0,7
0,129.03,0.4,0.178610207,1.032783053,-0.274955616,50,12,0,1,0,0,0,0.019049696,8
1,129.14,5.5,0.132692753,0.069907142,-0.020033334,50,6,1.39,0,1,5.5,1.5,0.099854997,8
1,136.12,5.5,0.16519241,0.097184264,0.004722579,50,7,0.04,3,0,5.5,0,0.224744576,9
2,136.14,5.26,0.2601,0.3721,6.86e-18,50,21,1.5,0,4,5.5,1.5,0.192013759,9
