"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,46.9,1.92,0.349895281,0.20916455,-0.015145033,50,8,1.5,0,0,0,0,0,1
0,47.16,3.57,0.307710315,0.220638961,-0.021137622,50,2,0,0,0,0,0,0,1
2,82.79,0.68,0.265052295,0.24478295,-0.050831736,50,9,1.5,0,0,0,0,0,2
0,83.12,5.48,0.373278762,0.214125792,0.033193689,50,3,0,0,2,5.5,0,0.553767254,2
3,83.25,0,0.263846461,1.028968873,-0.190493362,50,7,0.07,4,0,0,0,0.294413516,2
2,122.89,3.51,0.427015076,0.402330377,0.055092915,50,10,1.5,0,0,0,0,0,3
0,123.25,1.36,0.379385689,0.394185999,-0.037742986,50,4,0,0,0,0,0,0,3
2,124.07,1.7,0.467327448,0.317096874,-0.040761563,50,11,1.5,0,0,0,0,0,4
0,124.6,3.94,0.399881906,0.296120792,0.015888675,50,5,0,0,0,0,0,0,4
