"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
3,10.54,0,0.5929,0.2916,0,50,12,0.3,4,0,0,0,0.374122719,1
0,12.19,5.05,1.133544313,1.265353786,-0.646364568,50,8,0,0,2,5.5,0,0.325989213,1
1,13.08,5.5,0.340946765,0.347495927,-0.151500079,50,1,1.2,0,1,5.5,1.5,0.088233893,2
2,13.77,3.39,0.271472495,0.381552136,0.245214606,50,19,1.5,0,0,0,0,0,2
1,32.9,5.5,0.071817214,0.052667841,-0.018535994,50,5,0.15,3,0,5.5,0,0.025935256,3
2,33.97,5.42,0.133288984,0.92503727,-0.277864064,50,20,1.5,0,4,5.5,1.5,0.047799867,3
0,62.51,3.18,0.583409538,1.099510867,-0.563244547,50,9,0,0,0,0,0,0,4
2,63,4.66,0.237063463,0.316453172,-0.11307425,50,21,1.5,0,0,0,0,0,4
2,74.62,5.09,0.118531529,0.266956795,-0.09569874,50,23,1.5,0,4,5.5,1.5,0.010741639,5
2,78.28,0.92,0.069355078,0.635934159,0.124476044,50,24,1.5,0,0,0,0,0,6
1,80.75,5.5,0.0280529,0.0280529,0,50,6,1.4,0,1,5.5,1.5,0.012678367,5
3,81.84,0,0.0441,0.0169,0,50,18,1.32,0,0,0,0,0,6
2,100.24,3.97,0.320148238,0.197579489,-0.129907561,50,25,1.5,0,0,0,0,0,7
0,101.15,2.69,0.265596044,0.237149487,-0.056937234,50,10,0,0,0,0,0,0,7
3,108.6,0,0.514835916,0.141160604,0.016707494,50,15,1.45,0,2,0,1.5,0.725291999,8
2,109.29,1.18,0.605908884,2.945986442,1.055546923,50,27,1.5,3,0,0,1.5,0.006518819,8
3,117.41,0,0.066146115,0.07163217,-0.000230958,50,16,1.37,0,2,0,1.5,0.041276459,9
2,117.9,0.58,0.3909296,1.616621978,0.623481137,50,28,1.5,3,0,0,1.5,0.023376608,9
3,140.51,0,0.745666778,0.670531712,3.06e-05,50,17,0.31,4,0,0,0,0.634682371,10
0,140.58,5.07,0.614926017,3.164974005,-0.792288666,50,11,0,0,2,5.5,0,0.208478864,10
